,tamanho,ano,garagem,predicted
0,159.0,2003,2,200438.83
1,117.0,1976,2,162951.19
2,166.0,2001,2,216440.5
3,160.0,1915,3,137632.34
4,204.0,2000,3,267520.34
5,127.0,1993,2,174682.92
6,157.0,2004,2,200438.83
7,194.0,1973,2,210054.11
8,165.0,1931,2,175084.38
9,100.0,1939,1,121679.09
10,97.0,1965,1,134051.17
11,216.0,2005,3,320709.62
12,85.0,1962,1,123637.11
13,139.0,2006,3,252413.73
14,116.0,1960,1,142944.98
15,79.0,1929,2,97695.7
16,93.0,1970,2,146044.02
17,120.0,1967,2,154714.67
18,103.0,2004,2,154343.2
19,124.0,1958,1,137363.31
20,221.0,2005,3,320709.62
21,103.0,1930,1,115887.58
22,167.0,2002,2,215976.19
23,98.0,1976,2,152712.78
24,98.0,1968,1,137569.72
25,149.0,2007,3,231896.5
26,84.0,1951,2,125790.445
27,158.0,2007,3,305550.44
28,149.0,1957,1,151934.64
29,48.0,1927,1,91142.83
30,122.0,1920,1,116339.445
31,114.0,1966,1,142944.98
32,115.0,2007,2,180177.3
33,158.0,1959,2,172433.14
34,145.0,2005,2,240018.28
35,228.0,2004,3,322446.56
36,102.0,1994,2,154445.0
37,120.0,1954,2,145084.34
38,98.0,1953,1,131936.05
39,107.0,1955,0,106308.5
40,123.0,1965,2,152642.33
41,123.0,1959,1,140959.48
42,82.0,1983,2,137378.72
43,87.0,1975,1,118656.82
44,107.0,1959,1,139604.19
45,163.0,2005,2,253895.16
46,200.0,2003,2,244864.62
47,154.0,2006,3,248023.2
48,135.0,1920,0,135572.03
49,89.0,1966,1,123637.11
50,137.0,1997,2,183676.25
51,109.0,1934,2,127519.96
52,76.0,1963,2,123387.97
53,171.0,1981,3,320768.4
54,126.0,1955,2,148765.56
55,132.0,1964,2,168823.2
56,162.0,1999,2,213668.3
57,160.0,2004,2,205899.02
58,274.0,2006,3,422609.4
59,72.0,1972,1,113863.53
60,108.0,2004,2,165950.52
61,103.0,1920,1,114291.41
62,127.0,2006,2,192958.86
63,159.0,1921,2,175084.38
64,189.0,1997,2,229456.94
65,230.0,2004,3,322446.56
66,205.0,1970,2,222611.33
67,137.0,2003,2,185711.62
68,69.0,1945,1,95766.99
69,212.0,1953,2,211682.7
70,207.0,1973,2,207867.3
71,79.0,1982,2,135336.19
72,160.0,1998,2,213668.3
73,101.0,1954,2,139605.06
74,149.0,1915,1,134345.47
75,92.0,1973,1,109990.875
76,88.0,1956,1,120646.53
77,119.0,1948,1,124619.56
78,164.0,1968,0,144921.8
79,114.0,1910,2,121459.53
80,199.0,1968,1,217049.08
81,124.0,1998,2,177528.88
82,145.0,2007,3,231896.5
83,99.0,1960,2,149903.42
84,137.0,1995,2,180784.05
85,225.0,1991,2,263686.44
86,145.0,2005,2,240018.28
87,114.0,2009,2,180177.3
88,142.0,1915,0,109439.28
89,92.0,1994,0,127645.73
90,97.0,1950,2,117803.63
91,115.0,1961,2,149235.39
92,90.0,1921,2,129582.99
93,213.0,1910,2,158770.9
94,166.0,1997,2,213668.3
95,137.0,1993,2,180784.05
96,148.0,1999,2,207245.7
97,89.0,1965,1,123637.11
98,78.0,1920,1,103931.836
99,114.0,1959,0,113472.64
100,150.0,1977,2,176886.66
101,161.0,1985,2,204070.61
102,143.0,1979,2,176886.66
103,114.0,2009,3,196613.73
104,169.0,1931,1,165245.34
105,185.0,2003,2,227719.75
106,97.0,1885,1,109131.984
